name,date_utc,success,rocket_id,launchpad_id,flight_number,auto_update,tbd,net,upcoming,rocket_name,rocket_height,rocket_diameter,rocket_mass,rocket_stages,rocket_boosters,rocket_cost_per_launch,rocket_active,rocket_reusable,rocket_engines,rocket_thrust_sea_level,rocket_thrust_vacuum,launchpad_name,launchpad_region,launchpad_timezone,launchpad_latitude,launchpad_longitude,launch_attempts,launch_successes,launchpad_status,success_rate,payload_count,total_payload_mass,primary_payload_mass,payload_orbit,payload_customer_type,payload_nationality,payload_manufacturer,payload_type,launch_year,launch_month,launch_day_of_year,launch_hour,launch_day_of_week,launch_quarter,is_weekend,is_night_launch,temperature,humidity,wind_speed,precipitation,cloud_cover,visibility,pressure
Ax-1,2022-04-08T15:17:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,156,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,KSC LC 39A,Florida,America/New_York,28.6080585,-80.6039558,55,55,active,1,1,0,0,ISS,Commercial_Other,United States,SpaceX,Dragon 2.0,2022,4,98,15,4,2,0,0,21.2,86.85,12.8,0,23.8,16,1010.6
NROL-85,2022-04-17T13:13:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,157,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,VAFB SLC 4E,California,America/Los_Angeles,34.632093,-120.610829,28,27,active,0.964285714,1,0,0,LEO,Government,United States,Unknown,Satellite,2022,4,107,13,6,2,1,0,10.1,97.37,13.9,0,94.1,3.5,1021.9
Starlink 4-14 (v1.5),2022-04-21T15:16:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,158,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,4,111,15,3,2,0,0,21.7,57.69,20.6,0,99.5,16,1024.8
Crew-4,2022-04-27T07:52:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,159,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,KSC LC 39A,Florida,America/New_York,28.6080585,-80.6039558,55,55,active,1,1,0,0,ISS,Government,United States,SpaceX,Crew Dragon,2022,4,117,7,2,2,0,0,20.7,87.32,3,0,0,16,1019.3
Starlink 4-16 (v1.5),2022-04-29T21:27:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,160,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,4,119,21,4,2,0,1,22.2,62.51,17,0,9,16,1018.5
Starlink 4-17 (v1.5),2022-05-06T09:42:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,161,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,KSC LC 39A,Florida,America/New_York,28.6080585,-80.6039558,55,55,active,1,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,5,126,9,4,2,0,0,24.6,84.2,11.8,0,42.6,16,1015.9
Starlink 4-13 (v1.5),2022-05-13T22:07:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,162,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,VAFB SLC 4E,California,America/Los_Angeles,34.632093,-120.610829,28,27,active,0.964285714,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,5,133,22,4,2,0,1,8.6,87.71,10,0,0,14,1020.8
Starlink 4-15 (v1.5),2022-05-14T20:40:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,163,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,5,134,20,5,2,1,0,22.5,85.64,2.1,0,19,16,1015.9
Starlink 4-18 (v1.5),2022-05-18T10:40:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,164,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,KSC LC 39A,Florida,America/New_York,28.6080585,-80.6039558,55,55,active,1,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,5,138,10,2,2,0,0,25.8,77.51,9,0,97.6,16,1016.4
Transporter-5,2022-05-25T18:27:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,165,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,0,0,SSO,Unknown,United States,Unknown,Satellite,2022,5,145,18,2,2,0,0,25.3,77.6,17.6,0,9,16,1018.6
Nilesat-301,2022-06-08T21:04:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,166,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,3938,3938,GEO,Commercial_Other,Egypt,Thales Alenia Space,Satellite,2022,6,159,21,2,2,0,1,23.8,91.4,0.2,0,0,16,1015.5
Starlink 4-19 (v1.5),2022-06-01T17:08:50.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,167,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,KSC LC 39A,Florida,America/New_York,28.6080585,-80.6039558,55,55,active,1,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,6,152,17,2,2,0,0,23.4,82,10.4,0,20.1,16,1017.1
SARah 1,2022-06-18T14:19:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,168,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,VAFB SLC 4E,California,America/Los_Angeles,34.632093,-120.610829,28,27,active,0.964285714,1,2200,2200,SSO,Commercial_Other,Germany,Airbus Defence and Space,Satellite,2022,6,169,14,5,2,1,0,9.1,96.21,5.7,0,70.7,16,1014.2
Globalstar FM15,2022-06-19T04:27:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,169,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,700,700,LEO,Commercial_Other,United States,Unknown,Satellite,2022,6,170,4,6,2,1,1,24.9,73.57,7.7,0,0,16,1013.1
SES-22,2022-06-29T21:04:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,170,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,3500,3500,MEO,Commercial_Other,United States,Thales Alenia Space,Satellite,2022,6,180,21,2,2,0,1,26.5,78.2,12.2,0,0,16,1020
Starlink 4-21 (v1.5),2022-07-07T13:11:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,171,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,7,188,13,3,3,0,0,26.4,88.11,0.3,0,0,16,1016.9
Starlink 3-1 (v1.5),2022-07-11T01:39:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,172,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,VAFB SLC 4E,California,America/Los_Angeles,34.632093,-120.610829,28,27,active,0.964285714,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,7,192,1,0,3,0,1,12.6,97.11,7.5,0.181,100,6.2,1016.3
CRS-25,2022-07-15T00:44:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,173,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,KSC LC 39A,Florida,America/New_York,28.6080585,-80.6039558,55,55,active,1,1,0,0,ISS,Government,United States,SpaceX,Dragon 2.0,2022,7,196,0,4,3,0,1,32.57156949,20,6.560394589,0.045767162,1.300863836,16.43109402,1010.670951
Starlink 4-22 (v1.5),2022-07-17T14:50:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,174,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,7,198,14,6,3,1,0,24.6,92.95,3.8,0.356,49.1,16,1016.6
Starlink 3-2 (v1.5),2022-07-21T17:13:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,175,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,VAFB SLC 4E,California,America/Los_Angeles,34.632093,-120.610829,28,27,active,0.964285714,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,7,202,17,3,3,0,0,12.5,97.13,8.5,0,100,8.6,1017.3
Starlink 4-25 (v1.5),2022-07-24T00:00:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,176,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,7,205,0,6,3,1,1,26.2,86.44,6.9,0,0,16,1021
KPLO,2022-08-04T23:08:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,177,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,678,678,TLI,Commercial_Other,South Korea,KARI,Satellite,2022,8,216,23,3,3,0,1,24.10867725,61.73191076,0.207877144,0.401939754,58.60344547,15.65083058,1009.341795
Starlink 4-26 (v1.5),2022-08-09T22:57:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,178,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,KSC LC 39A,Florida,America/New_York,28.6080585,-80.6039558,55,55,active,1,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,8,221,22,1,3,0,1,24.57249514,70.96045428,9.404309466,1.912996344,17.76782878,19.89151233,987.2220371
Starlink 3-3 (v1.5),2022-08-12T21:30:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,179,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,VAFB SLC 4E,California,America/Los_Angeles,34.632093,-120.610829,28,27,active,0.964285714,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,8,224,21,4,3,0,1,25.2656035,83.9073371,1.174931201,0.005356958,18.79203131,21.41095259,1030.151876
Starlink 4-27 (v1.5),2022-08-19T19:24:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,180,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,8,231,19,4,3,0,0,24.1890964,72.59164876,0.888577942,3.96390344,71.85286021,25.2932331,1012.109836
Starlink 4-23 (v1.5),2022-08-28T02:22:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,181,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,KSC LC 39A,Florida,America/New_York,28.6080585,-80.6039558,55,55,active,1,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,8,240,2,6,3,1,1,21.61606808,45.6959902,3.959229822,8.648684236,57.50201837,15.64573215,1033.712491
Starlink 3-4 (v1.5),2022-08-31T05:40:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,182,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,VAFB SLC 4E,California,America/Los_Angeles,34.632093,-120.610829,28,27,active,0.964285714,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,8,243,5,2,3,0,1,23.61964979,33.51521443,0.329622533,0.056988483,21.34270137,22.09137339,1007.227215
Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM,2022-09-05T02:09:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,183,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,2,13440,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,9,248,2,0,3,0,1,14.98686858,57.2549346,10.60232063,0.753980181,0.043768113,17.47725472,1022.219508
Starlink 4-2 (v1.5) & Blue Walker 3,2022-09-11T01:10:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,184,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,KSC LC 39A,Florida,America/New_York,28.6080585,-80.6039558,55,55,active,1,2,14760,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,9,254,1,6,3,1,1,19.93231679,64.42640737,0.59869167,0.21075149,10.06906172,16.86698155,1029.4733
Starlink 4-34 (v1.5),2022-09-17T01:05:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,185,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,9,260,1,5,3,1,1,21.015248,50.9054125,0.705335357,1.655228749,16.77744062,10.93958592,1037.45611
Starlink 4-35 (v1.5),2022-09-24T23:30:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,186,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,9,267,23,5,3,1,1,21.95166663,77.03419739,2.706234154,0.889000527,84.29014044,18.91463767,994.9744819
Crew-5,2022-10-05T16:00:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,187,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,KSC LC 39A,Florida,America/New_York,28.6080585,-80.6039558,55,55,active,1,1,0,0,ISS,Government,United States,SpaceX,Crew Dragon,2022,10,278,16,2,4,0,0,17.58335995,75.42394179,14.83531158,0.531728541,84.79943737,11.57020024,1037.465714
USSF-44,2022-11-01T13:41:00.000Z,0,5e9d0d95eda69974db09d1ed,5e9e4502f509094188566f88,188,1,0,0,1,Falcon Heavy,70,12.2,1420788,2,2,90000000,1,1,27,22819,24681,KSC LC 39A,Florida,America/New_York,28.6080585,-80.6039558,55,55,active,1,1,3700,3700,GTO,Government,United States,USSF,Satellite,2022,11,305,13,1,4,0,0,19.32938358,95,6.480173499,2.476240537,18.43050509,21.15216524,1018.681801
Starlink 4-36 (v1.5),2022-10-20T14:50:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,188,1,0,0,1,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,13260,13260,VLEO,SpaceX,United States,SpaceX,Satellite,2022,10,293,14,3,4,0,0,23.74285398,71.90443253,6.591694022,2.702126955,93.84764501,14.5116279,991.3905766
Galaxy 33 (15R) & 34 (12R),2022-10-08T23:05:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,188,1,0,0,1,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,2022,10,281,23,5,4,1,1,23.25165283,84.52944694,5.115010352,0.508562391,3.470662822,21.18091505,995.3435301
Hotbird 13F,2022-10-15T05:22:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,188,1,0,0,1,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,2022,10,288,5,5,4,1,1,18.67598838,60.83752072,2.119953476,0.544801867,36.40635682,15.8050333,995.0106774
Hotbird 13G,2022-11-03T03:24:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,189,1,0,0,1,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,2022,11,307,3,3,4,0,1,19.07558876,78.17620604,1.80488265,0.210141359,79.24342726,7.955741781,987.6857711
Galaxy 31 (23R) & 32 (17R),2022-11-08T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,191,1,0,0,1,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,2022,11,312,0,1,4,0,1,23.63618186,79.29137335,5.826551231,0.669592995,55.12787964,11.86306862,1013.041658
Eutelsat 10B,2022-11-15T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,192,1,0,0,1,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,2022,11,319,0,1,4,0,1,21.2141098,71.06038197,2.927282704,1.535019813,21.68351659,23.5800978,1010.564662
ispace Mission 1 & Rashid,2022-11-22T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,193,1,0,0,1,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,2022,11,326,0,1,4,0,1,23.95568708,68.76473364,1.003770058,0.064131693,69.36035297,11.5662308,993.8266582
CRS-26,2022-11-18T22:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,194,1,0,0,1,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,KSC LC 39A,Florida,America/New_York,28.6080585,-80.6039558,55,55,active,1,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,2022,11,322,22,4,4,0,1,26.54139334,62.83766735,4.354913322,0.870486086,16.05846031,15.64110841,1033.164486
Starlink 4-37 (v1.5),2022-11-01T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,195,1,0,0,1,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,2022,11,305,0,1,4,0,1,18.94513199,56.27630077,30.51835318,1.390154851,60.32991435,11.84113988,1009.789738
"O3b mPower 1,2",2022-11-01T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,196,1,0,0,1,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,5100,5100,MEO,Commercial_Other,United States,Unknown,Satellite,2022,11,305,0,1,4,0,1,23.05594475,59.3646361,1.673440382,0.442668071,88.61119221,14.92633352,987.6724416
SWOT,2022-12-05T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,197,1,0,0,1,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,VAFB SLC 4E,California,America/Los_Angeles,34.632093,-120.610829,28,27,active,0.964285714,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,2022,12,339,0,0,4,0,1,15.08928929,55.34422929,1.610393125,0.08048004,19.66591725,11.93908771,1009.31781
SES-18 & SES-19,2022-11-01T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,198,1,0,0,1,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,2022,11,305,0,1,4,0,1,23.22774125,63.80825613,0.666724078,1.595319448,11.70048133,18.54841183,1024.23086
Transporter-6,2022-12-01T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,198,1,0,0,1,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,2022,12,335,0,3,4,0,1,27.33900217,88.32703009,1.164514879,2.212554494,12.05829988,18.16290053,995.3028848
TTL-1,2022-12-01T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,199,1,0,0,1,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,VAFB SLC 4E,California,America/Los_Angeles,34.632093,-120.610829,28,27,active,0.964285714,1,0,0,PO,Commercial_Other,United States,SpaceX,Satellite,2022,12,335,0,3,4,0,1,16.7364572,46.77262109,5.847214675,0.494818423,20.06642372,15.23486714,1002.044024
WorldView Legion 1 & 2,2022-12-01T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,200,1,0,0,1,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,0,0,SSO,Commercial_Other,United States,Unknown,Satellite,2022,12,335,0,3,4,0,1,19.04268257,85.99545873,2.598353671,2.895755072,46.86247811,14.94889981,1031.718796
Viasat-3 & Arcturus,2022-12-01T00:00:00.000Z,0,5e9d0d95eda69974db09d1ed,5e9e4502f509094188566f88,202,1,0,0,1,Falcon Heavy,70,12.2,1420788,2,2,90000000,1,1,27,22819,24681,KSC LC 39A,Florida,America/New_York,28.6080585,-80.6039558,55,55,active,1,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,2022,12,335,0,3,4,0,1,23.85317156,75.15363494,5.775886571,0.916063745,33.57093485,14.17764291,995.3630219
O3b mPower 3.4,2022-12-01T00:00:00.000Z,0,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,203,1,0,0,1,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,5100,5100,MEO,Commercial_Other,United States,Unknown,Satellite,2022,12,335,0,3,4,0,1,22.49057487,54.52542823,6.891231742,0.925727794,79.85218554,20.359481,1006.510891
